cohort,estimand,scenario,adjustment,contrast,n_intervals,n_persons,events,log_rr,se,rr,conf_low,conf_high,p_value,tau2,i2,q_p_value
Random-effects meta-analysis,persistence,first_eligible_interval,core,pain_only_vs_neither,30909,,16388,0.173718415461238,0.0224745010824696,1.189720511748,1.08006199474355,1.31051263998044,0.0163285927698201,1.61554658906198e-06,0.108798025827692,0.345519505301173
Random-effects meta-analysis,persistence,first_eligible_interval,core,cancer_only_vs_neither,30909,,16388,0.106308279556508,0.089210142722855,1.11216468129868,0.757651331077543,1.63255870819765,0.35562868776996,0.00546891327920785,31.5663773520242,0.155830081204492
Random-effects meta-analysis,persistence,final_weight_trimmed_1st_99th_percentile,core,cancer_and_pain_vs_neither,40104,,22640,0.191861425290126,0.0329778287576048,1.21150262170784,1.0512388022077,1.39619903614913,0.0282959997885122,5.43535800340749e-06,0.182440602554962,0.245584219901293
Random-effects meta-analysis,persistence,final_weight_trimmed_1st_99th_percentile,core,cancer_and_pain_vs_cancer_only,40104,,22640,0.111318500052133,0.0294464283286876,1.11775085387211,0.984738401636969,1.26872981621815,0.0633920138464291,0,0,0.67975474679637
Random-effects meta-analysis,persistence,final_weight_trimmed_1st_99th_percentile,core,pain_only_vs_neither,40104,,22640,0.159007782560324,0.0197311467525322,1.17234707050701,1.07692688705214,1.27622187750228,0.0150513613240432,0.000300080791950492,28.8736159936204,0.217276379954831
Random-effects meta-analysis,persistence,final_weight_trimmed_1st_99th_percentile,core,cancer_only_vs_neither,40104,,22640,0.0856521971254081,0.0579303351493935,1.08942735643897,0.849079958450664,1.39780942082684,0.277348353332018,3.96022301659363e-06,0.0512219369216181,0.189943729838532
Random-effects meta-analysis,persistence,reduced_covariate,reduced,cancer_and_pain_vs_neither,42782,,24250,0.201001053109745,0.03560844759394,1.22262605938207,1.04895063464818,1.42505703481602,0.0299799026679796,1.61263520401313e-06,0.0534413098796953,0.237814039095178
Random-effects meta-analysis,persistence,reduced_covariate,reduced,cancer_and_pain_vs_cancer_only,42782,,24250,0.135317770584298,0.0513104945172613,1.14490054226675,0.91809586224031,1.42773462510127,0.118716199885213,2.42657640957887e-08,0.000282809047048001,0.315612672919274
Random-effects meta-analysis,persistence,reduced_covariate,reduced,pain_only_vs_neither,42782,,24250,0.179946779381738,0.0303397124851751,1.19715364816904,1.05064633573848,1.36409066359812,0.0272697948177954,0.00182753195216533,67.7482212760981,0.0469829480514337
Random-effects meta-analysis,persistence,reduced_covariate,reduced,cancer_only_vs_neither,42782,,24250,0.00243016705759133,0.1397940882495,1.00243312230699,0.549330371791309,1.82926744323521,0.987708651933526,0.0333667707097012,80.7827979726168,0.0538552653430178
